Date,Client_ID,Industry,Project_Type,Consultant_Level,Region,Hours_Billed,Hourly_Rate,Revenue,Cost,Profit
2024-10-16,C2824,Finance,Digital Transformation,Mid,Europe,112,104,11648,6406.4,5241.6
2023-05-23,C2679,Government,Operations,Junior,Africa,112,68,7616,4569.6,3046.4
2024-03-08,C1520,Finance,Strategy,Mid,Europe,126,129,16254,8939.7,7314.3
2024-06-01,C1434,Retail,Data Analytics,Principal,Europe,159,287,45633,20534.85,25098.15
2024-04-04,C5557,Finance,Data Analytics,Principal,Asia,139,307,42673,19202.85,23470.15
2023-10-12,C3547,Healthcare,Digital Transformation,Junior,North America,31,74,2294,1376.4,917.6
2024-01-25,C2584,Technology,Digital Transformation,Senior,North America,179,229,40991,20495.5,20495.5
2024-04-15,C9785,Finance,Audit,Junior,Africa,199,52,10348,6208.8,4139.2
2023-10-28,C6925,Retail,Data Analytics,Junior,North America,30,58,1740,1044,696
2024-11-08,C4733,Technology,Strategy,Mid,North America,98,139,13622,7492.1,6129.9
2024-01-25,C5554,Energy,Digital Transformation,Mid,Asia,62,109,6758,3716.9,3041.1
2023-12-30,C4432,Government,Digital Transformation,Junior,Africa,197,56,11032,6619.2,4412.8
2024-10-12,C3803,Retail,Data Analytics,Mid,Middle East,90,139,12510,6880.5,5629.5
2024-01-24,C5422,Government,Operations,Mid,Asia,143,143,20449,11246.95,9202.05
2023-02-27,C4752,Finance,Digital Transformation,Principal,Asia,53,263,13939,6272.55,7666.45
2023-03-09,C4456,Retail,Digital Transformation,Mid,Middle East,104,97,10088,5548.4,4539.6
2024-02-10,C8517,Healthcare,Digital Transformation,Mid,Europe,91,115,10465,5755.75,4709.25
2024-07-28,C9830,Technology,Operations,Principal,Africa,50,314,15700,7065,8635
2024-02-13,C6930,Healthcare,Data Analytics,Principal,North America,98,378,37044,16669.8,20374.2
2023-02-18,C2796,Healthcare,Data Analytics,Principal,Africa,145,385,55825,25121.25,30703.75
2023-03-07,C7304,Energy,Operations,Principal,Africa,172,290,49880,22446,27434
2023-09-15,C1188,Government,Strategy,Senior,Asia,37,221,8177,4088.5,4088.5
2023-04-25,C5808,Energy,Data Analytics,Principal,North America,171,311,53181,23931.45,29249.55
2023-09-27,C9201,Healthcare,Operations,Junior,Asia,46,84,3864,2318.4,1545.6
2024-10-16,C9317,Retail,Data Analytics,Mid,Asia,110,92,10120,5566,4554
2023-06-15,C9837,Retail,Strategy,Senior,Middle East,151,158,23858,11929,11929
2023-01-20,C2832,Technology,Digital Transformation,Mid,North America,99,140,13860,7623,6237
2023-09-04,C2290,Finance,Audit,Junior,Africa,61,81,4941,2964.6,1976.4
2023-05-09,C3103,Government,Audit,Mid,Asia,180,125,22500,12375,10125
2024-06-24,C7932,Healthcare,Operations,Mid,Asia,196,117,22932,12612.6,10319.4
2024-02-13,C7118,Energy,Operations,Principal,North America,71,357,25347,11406.15,13940.85
2023-09-11,C4681,Finance,Digital Transformation,Junior,Africa,53,69,3657,2194.2,1462.8
2024-07-21,C4770,Retail,Data Analytics,Junior,North America,137,77,10549,6329.4,4219.6
2024-12-25,C1964,Healthcare,Strategy,Junior,Asia,130,76,9880,5928,3952
2023-03-14,C9423,Healthcare,Digital Transformation,Principal,Europe,112,386,43232,19454.4,23777.6
2024-07-06,C3167,Government,Operations,Principal,Europe,71,308,21868,9840.6,12027.4
2024-04-29,C7669,Healthcare,Strategy,Junior,Middle East,127,81,10287,6172.2,4114.8
2023-12-29,C7939,Energy,Audit,Junior,North America,71,61,4331,2598.6,1732.4
2023-03-04,C7596,Government,Digital Transformation,Junior,Europe,122,86,10492,6295.2,4196.8
2023-07-16,C4116,Retail,Audit,Mid,Middle East,196,91,17836,9809.8,8026.2
2023-07-07,C5563,Energy,Data Analytics,Junior,Middle East,96,86,8256,4953.6,3302.4
2024-07-17,C2604,Finance,Operations,Junior,North America,156,51,7956,4773.6,3182.4
2023-08-31,C3724,Energy,Audit,Principal,Europe,192,287,55104,24796.8,30307.2
2024-02-15,C1960,Healthcare,Audit,Junior,Middle East,33,54,1782,1069.2,712.8
2023-09-29,C8454,Technology,Audit,Principal,Europe,153,319,48807,21963.15,26843.85
2023-07-14,C5861,Healthcare,Strategy,Junior,Asia,102,52,5304,3182.4,2121.6
2023-02-28,C1821,Retail,Audit,Mid,North America,99,108,10692,5880.6,4811.4
2024-06-04,C2312,Healthcare,Strategy,Junior,Europe,61,82,5002,3001.2,2000.8
2024-02-18,C2964,Retail,Data Analytics,Junior,Africa,113,50,5650,3390,2260
2023-03-25,C7868,Government,Operations,Senior,Asia,108,165,17820,8910,8910
2023-07-29,C6147,Healthcare,Digital Transformation,Principal,Europe,121,389,47069,21181.05,25887.95
2024-11-18,C5915,Energy,Digital Transformation,Junior,North America,46,81,3726,2235.6,1490.4
2024-04-14,C2638,Finance,Operations,Mid,Africa,156,92,14352,7893.6,6458.4
2023-09-29,C3170,Technology,Strategy,Mid,Asia,129,113,14577,8017.35,6559.65
2023-10-19,C3584,Energy,Operations,Senior,Africa,173,233,40309,20154.5,20154.5
2024-10-31,C9666,Finance,Operations,Senior,North America,108,167,18036,9018,9018
2023-05-18,C5333,Finance,Strategy,Mid,Asia,119,91,10829,5955.95,4873.05
2023-10-16,C4450,Government,Digital Transformation,Mid,Asia,42,110,4620,2541,2079
2024-06-01,C9004,Technology,Strategy,Junior,Middle East,137,57,7809,4685.4,3123.6
2023-10-11,C1722,Finance,Digital Transformation,Mid,Asia,137,137,18769,10322.95,8446.05
2023-06-15,C8239,Retail,Audit,Junior,North America,128,71,9088,5452.8,3635.2
