OrderID,Date,Product,Category,Quantity,UnitPrice,Revenue,Cost,Profit,Region,Salesperson,CustomerSatisfaction
ORD00001,2023-03-15,Laptop,Electronics,3,899.00,2697.00,1618.20,1078.80,North,Alice Johnson,4.5
ORD00002,2023-01-22,Mouse,Accessories,5,45.00,225.00,157.50,67.50,South,Bob Smith,4.2
ORD00003,2023-05-08,Monitor,Peripherals,2,350.00,700.00,455.00,245.00,East,Charlie Brown,4.8
ORD00004,2023-02-14,Phone,Electronics,4,750.00,3000.00,1950.00,1050.00,West,Diana Prince,4.6
ORD00005,2023-07-19,Keyboard,Accessories,6,85.00,510.00,357.00,153.00,Central,Eve Adams,4.1
ORD00006,2023-04-03,Headphones,Accessories,3,120.00,360.00,252.00,108.00,North,Frank Miller,4.4
ORD00007,2023-09-25,Tablet,Electronics,2,650.00,1300.00,845.00,455.00,South,Grace Lee,4.7
ORD00008,2023-06-11,Webcam,Peripherals,7,95.00,665.00,465.50,199.50,East,Henry Davis,4.3
ORD00009,2023-08-30,Speaker,Peripherals,4,180.00,720.00,504.00,216.00,West,Alice Johnson,4.5
ORD00010,2023-11-17,Charger,Accessories,10,25.00,250.00,175.00,75.00,Central,Bob Smith,3.9
ORD00011,2023-12-05,Laptop,Electronics,1,950.00,950.00,617.50,332.50,North,Charlie Brown,4.6
ORD00012,2024-01-20,Mouse,Accessories,8,50.00,400.00,280.00,120.00,South,Diana Prince,4.2
ORD00013,2024-02-28,Monitor,Peripherals,3,425.00,1275.00,893.25,381.75,East,Eve Adams,4.8
ORD00014,2024-03-14,Phone,Electronics,2,825.00,1650.00,1072.50,577.50,West,Frank Miller,4.7
ORD00015,2024-04-09,Keyboard,Accessories,5,75.00,375.00,262.50,112.50,Central,Grace Lee,4.0
ORD00016,2024-05-22,Headphones,Accessories,4,135.00,540.00,378.00,162.00,North,Henry Davis,4.5
ORD00017,2024-06-18,Tablet,Electronics,3,700.00,2100.00,1365.00,735.00,South,Alice Johnson,4.9
ORD00018,2024-07-07,Webcam,Peripherals,6,110.00,660.00,462.00,198.00,East,Bob Smith,4.3
ORD00019,2024-08-15,Speaker,Peripherals,2,200.00,400.00,280.00,120.00,West,Charlie Brown,4.6
ORD00020,2024-09-03,Charger,Accessories,9,30.00,270.00,189.00,81.00,Central,Diana Prince,3.8
ORD00021,2023-10-12,Laptop,Electronics,2,875.00,1750.00,1137.50,612.50,North,Eve Adams,4.7
ORD00022,2023-03-28,Mouse,Accessories,7,55.00,385.00,269.50,115.50,South,Frank Miller,4.1
ORD00023,2023-05-16,Monitor,Peripherals,1,375.00,375.00,262.50,112.50,East,Grace Lee,4.4
ORD00024,2023-07-24,Phone,Electronics,5,780.00,3900.00,2535.00,1365.00,West,Henry Davis,4.8
ORD00025,2023-09-08,Keyboard,Accessories,4,90.00,360.00,252.00,108.00,Central,Alice Johnson,4.2
ORD00026,2023-11-29,Headphones,Accessories,6,125.00,750.00,525.00,225.00,North,Bob Smith,4.5
ORD00027,2024-01-11,Tablet,Electronics,3,675.00,2025.00,1316.25,708.75,South,Charlie Brown,4.6
ORD00028,2024-03-19,Webcam,Peripherals,5,105.00,525.00,367.50,157.50,East,Diana Prince,4.4
ORD00029,2024-05-27,Speaker,Peripherals,3,190.00,570.00,399.00,171.00,West,Eve Adams,4.7
ORD00030,2024-07-13,Charger,Accessories,8,28.00,224.00,156.80,67.20,Central,Frank Miller,4.0
ORD00031,2023-02-09,Laptop,Electronics,4,920.00,3680.00,2392.00,1288.00,North,Grace Lee,4.9
ORD00032,2023-04-21,Mouse,Accessories,6,48.00,288.00,201.60,86.40,South,Henry Davis,4.3
ORD00033,2023-06-30,Monitor,Peripherals,2,400.00,800.00,560.00,240.00,East,Alice Johnson,4.6
ORD00034,2023-08-17,Phone,Electronics,3,795.00,2385.00,1550.25,834.75,West,Bob Smith,4.7
ORD00035,2023-10-05,Keyboard,Accessories,7,80.00,560.00,392.00,168.00,Central,Charlie Brown,4.1
ORD00036,2023-12-22,Headphones,Accessories,5,140.00,700.00,490.00,210.00,North,Diana Prince,4.5
ORD00037,2024-02-08,Tablet,Electronics,1,685.00,685.00,445.25,239.75,South,Eve Adams,4.4
ORD00038,2024-04-16,Webcam,Peripherals,4,115.00,460.00,322.00,138.00,East,Frank Miller,4.2
ORD00039,2024-06-24,Speaker,Peripherals,6,175.00,1050.00,735.00,315.00,West,Grace Lee,4.8
ORD00040,2024-08-10,Charger,Accessories,10,32.00,320.00,224.00,96.00,Central,Henry Davis,3.9
ORD00041,2023-01-17,Laptop,Electronics,2,885.00,1770.00,1150.50,619.50,North,Alice Johnson,4.6
ORD00042,2023-03-26,Mouse,Accessories,9,52.00,468.00,327.60,140.40,South,Bob Smith,4.0
ORD00043,2023-05-14,Monitor,Peripherals,3,390.00,1170.00,819.00,351.00,East,Charlie Brown,4.7
ORD00044,2023-07-02,Phone,Electronics,4,765.00,3060.00,1989.00,1071.00,West,Diana Prince,4.5
ORD00045,2023-08-20,Keyboard,Accessories,5,88.00,440.00,308.00,132.00,Central,Eve Adams,4.3
ORD00046,2023-10-28,Headphones,Accessories,3,130.00,390.00,273.00,117.00,North,Frank Miller,4.6
ORD00047,2023-12-15,Tablet,Electronics,2,695.00,1390.00,903.50,486.50,South,Grace Lee,4.8
ORD00048,2024-02-02,Webcam,Peripherals,7,100.00,700.00,490.00,210.00,East,Henry Davis,4.2
ORD00049,2024-04-11,Speaker,Peripherals,4,185.00,740.00,518.00,222.00,West,Alice Johnson,4.7
ORD00050,2024-06-19,Charger,Accessories,6,27.00,162.00,113.40,48.60,Central,Bob Smith,4.1
